Date,Close
21/10/2019,50.700001
22/10/2019,51.116001
23/10/2019,50.936001
24/10/2019,59.936001
25/10/2019,65.625999
28/10/2019,65.542
29/10/2019,63.243999
30/10/2019,63.001999
31/10/2019,62.984001
1/11/2019,62.661999
4/11/2019,63.493999
5/11/2019,63.444
6/11/2019,65.316002
7/11/2019,67.108002
8/11/2019,67.428001
11/11/2019,69.017998
12/11/2019,69.986
13/11/2019,69.222
14/11/2019,69.870003
15/11/2019,70.433998
18/11/2019,69.998001
19/11/2019,71.903999
20/11/2019,70.444
21/11/2019,70.966003
22/11/2019,66.608002
25/11/2019,67.267998
26/11/2019,65.783997
27/11/2019,66.258003
29/11/2019,65.987999
2/12/2019,66.973999
3/12/2019,67.239998
4/12/2019,66.606003
5/12/2019,66.073997
6/12/2019,67.178001
9/12/2019,67.905998
10/12/2019,69.767998
11/12/2019,70.540001
12/12/2019,71.935997
13/12/2019,71.678001
16/12/2019,76.300003
17/12/2019,75.797997
18/12/2019,78.629997
19/12/2019,80.807999
20/12/2019,81.117996
23/12/2019,83.844002
24/12/2019,85.050003
26/12/2019,86.188004
27/12/2019,86.075996
30/12/2019,82.940002
31/12/2019,83.666
2/01/2020,86.052002
3/01/2020,88.601997
6/01/2020,90.307999
7/01/2020,93.811996
8/01/2020,98.428001
9/01/2020,96.267998
10/01/2020,95.629997
13/01/2020,104.972
14/01/2020,107.584
15/01/2020,103.699997
16/01/2020,102.697998
17/01/2020,102.099998
21/01/2020,109.440002
22/01/2020,113.912003
23/01/2020,114.440002
24/01/2020,112.963997
27/01/2020,111.603996
28/01/2020,113.379997
29/01/2020,116.197998
30/01/2020,128.162003
31/01/2020,130.113998
3/02/2020,156
4/02/2020,177.412003
5/02/2020,146.940002
6/02/2020,149.792007
7/02/2020,149.613998
10/02/2020,154.255997
11/02/2020,154.876007
12/02/2020,153.457993
13/02/2020,160.800003
14/02/2020,160.005997
18/02/2020,171.679993
19/02/2020,183.483994
20/02/2020,179.882004
21/02/2020,180.199997
24/02/2020,166.757996
25/02/2020,159.981995
26/02/2020,155.759995
27/02/2020,135.800003
28/02/2020,133.598007
2/03/2020,148.723999
3/03/2020,149.102005
4/03/2020,149.899994
5/03/2020,144.908005
6/03/2020,140.695999
9/03/2020,121.599998
10/03/2020,129.065994
11/03/2020,126.846001
12/03/2020,112.110001
13/03/2020,109.323997
16/03/2020,89.014
17/03/2020,86.040001
18/03/2020,72.244003
19/03/2020,85.528
20/03/2020,85.505997
23/03/2020,86.858002
24/03/2020,101
25/03/2020,107.849998
26/03/2020,105.632004
27/03/2020,102.872002
30/03/2020,100.426003
31/03/2020,104.800003
1/04/2020,96.311996
2/04/2020,90.893997
3/04/2020,96.001999
6/04/2020,103.248001
7/04/2020,109.089996
8/04/2020,109.767998
9/04/2020,114.599998
13/04/2020,130.190002
14/04/2020,141.977997
15/04/2020,145.966003
16/04/2020,149.042007
17/04/2020,150.778
20/04/2020,149.272003
21/04/2020,137.343994
22/04/2020,146.421997
23/04/2020,141.126007
24/04/2020,145.029999
27/04/2020,159.75
28/04/2020,153.824005
29/04/2020,160.102005
30/04/2020,156.376007
1/05/2020,140.264008
4/05/2020,152.238007
5/05/2020,153.641998
6/05/2020,156.516006
7/05/2020,156.007996
8/05/2020,163.884003
11/05/2020,162.257996
12/05/2020,161.882004
13/05/2020,158.192001
14/05/2020,160.666
15/05/2020,159.834
18/05/2020,162.725998
19/05/2020,161.602005
20/05/2020,163.112
21/05/2020,165.520004
22/05/2020,163.376007
26/05/2020,163.774002
27/05/2020,164.046005
28/05/2020,161.162003
29/05/2020,167
1/06/2020,179.619995
2/06/2020,176.311996
3/06/2020,176.591995
4/06/2020,172.876007
5/06/2020,177.132004
8/06/2020,189.983994
9/06/2020,188.134003
10/06/2020,205.009995
11/06/2020,194.567993
12/06/2020,187.056
15/06/2020,198.179993
16/06/2020,196.425995
17/06/2020,198.358002
18/06/2020,200.792007
19/06/2020,200.179993
22/06/2020,198.863998
23/06/2020,200.356003
24/06/2020,192.169998
25/06/2020,197.195999
26/06/2020,191.947998
29/06/2020,201.869995
30/06/2020,215.962006
1/07/2020,223.925995
2/07/2020,241.731995
6/07/2020,274.31601
7/07/2020,277.971985
8/07/2020,273.175995
9/07/2020,278.855988
10/07/2020,308.929993
13/07/2020,299.411987
14/07/2020,303.359985
15/07/2020,309.201996
16/07/2020,300.127991
17/07/2020,300.167999
20/07/2020,328.600006
21/07/2020,313.671997
22/07/2020,318.466003
23/07/2020,302.614014
24/07/2020,283.399994
27/07/2020,307.920013
28/07/2020,295.298004
29/07/2020,299.821991
30/07/2020,297.497986
31/07/2020,286.152008
3/08/2020,297
4/08/2020,297.399994
5/08/2020,297.003998
6/08/2020,297.915985
7/08/2020,290.541992
10/08/2020,283.713989
11/08/2020,274.877991
12/08/2020,310.951996
13/08/2020,324.200012
14/08/2020,330.141998
17/08/2020,367.127991
18/08/2020,377.417999
19/08/2020,375.705994
20/08/2020,400.365997
21/08/2020,409.996002
24/08/2020,402.839996
25/08/2020,404.667999
26/08/2020,430.634003
27/08/2020,447.75
28/08/2020,442.679993
31/08/2020,498.320007
1/09/2020,475.049988
2/09/2020,447.369995
3/09/2020,407
4/09/2020,418.320007
8/09/2020,330.209991
9/09/2020,366.279999
10/09/2020,371.339996
11/09/2020,372.720001
14/09/2020,419.619995
15/09/2020,449.76001
16/09/2020,441.76001
17/09/2020,423.429993
18/09/2020,442.149994
21/09/2020,449.390015
22/09/2020,424.230011
23/09/2020,380.359985
24/09/2020,387.790009
25/09/2020,407.339996
28/09/2020,421.200012
29/09/2020,419.070007
30/09/2020,429.01001
1/10/2020,448.160004
2/10/2020,415.089996
5/10/2020,425.679993
6/10/2020,413.980011
7/10/2020,425.299988
8/10/2020,425.920013
9/10/2020,434
12/10/2020,442.299988
13/10/2020,446.649994
14/10/2020,461.299988
15/10/2020,448.880005
16/10/2020,439.670013
19/10/2020,430.829987
